Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase Steps,Expected Results
"Create General Purpose FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth 1 >= Throughput <= 1024 MiB/s
Valid Backend Id
Vaild AvailabiltyZone
With Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-14,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth 1 >= Throughput <= 1024 MiB/s
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-15,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth Throughput < 1 MiB/s",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-16,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth Throughput > 1024 MiB/s",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-17,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with InValid/ Non-Existence Backend Id",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-18,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with Non File Type Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-19,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with Invalid Region in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-20,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with Invalid AK in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-21,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with Invalid SK in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-22,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare 
with Invalid AvailabilityZone",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-23,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-24,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-25,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-26,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-27,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-28,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-29,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
 Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-30,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create General Purpose  FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-31,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose  FileShare
with Valid KMSKeyId
",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-32,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose  FileShare
with InValid KMSKeyId
",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-33,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose  FileShare
with Valid KMSKeyARN
",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-34,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted General Purpose  FileShare
with InValid KMSKeyARN
",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-35,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Name having length <= 16 characters, contain only lowercase letters & numbers
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
With Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-36,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O  FileShare 
with following conditions:

With Name having length <= 16 characters, contain only lowercase letters & numbers
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-37,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Name having length > 16 characters
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-38,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Name contains content other than letters, numbers, and these characters: + - = . _ : /
With Bursting ThroughputMode
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-39,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth 1 >= Throughput <= 1024 MiB/s
Valid Backend Id
Vaild AvailabiltyZone
With Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-40,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth 1 >= Throughput <= 1024 MiB/s
Valid Backend Id
Vaild AvailabiltyZone
Without Description",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-41,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth Throughput < 1 MiB/s",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-42,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with following conditions:

With Provisioned ThroughputMode
Wth Throughput > 1024 MiB/s",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-43,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with InValid/ Non-Existence Backend Id",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-44,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with Non Block Type Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-45,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with Invalid Region in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-46,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with Invalid AK in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-47,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with Invalid SK in provided Backend",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-48,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare 
with Invalid AvailabilityZone",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-49,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-50,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-51,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-52,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-53,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-54,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-55,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O  FileShare
 Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-56,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Max I/O FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-57,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Max I/O FileShare
with Valid KMSKeyId
",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-58,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Max I/O FileShare
with InValid KMSKeyId
",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-59,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Max I/O FileShare
with Valid KMSKeyARN
",FileShare Creation - [Valid Scenerio],TC-MuliCloud-FS-60,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Create Encrypted Max I/O FileShare
with InValid KMSKeyARN
",FileShare Creation - [InValid Scenerio],TC-MuliCloud-FS-61,"SODA Multi-Cloud Docker Containers Up & Running
",,
Update General Purpose FileShare Description Only,FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-62,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-63,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-64,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-65,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-66,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-67,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-68,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
 Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-69,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare
Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-70,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare from Bursting to Provisioned Throughput Mode:
1 >= Throughput <= 1024 MiB/s
",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-71,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare from Bursting to Provisioned Throughput Mode:
Throughput < 1 MiB/s
",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-72,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare from Bursting to Provisioned Throughput Mode:
Throughput > 1024 MiB/s",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-73,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare from Provisioned to Throughput Throughput Mode
",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-74,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update General Purpose FileShare from Provisioned to Bursting Throughput Mode with some Throughput Value
",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-75,"SODA Multi-Cloud Docker Containers Up & Running
",,
Update Max I/O FileShare Description Only,FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-76,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-77,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-78,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-79,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
with Tags with following condition 
Number of Tags upto 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-80,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
with Tags with following condition 
Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-81,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
 Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is <= 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-82,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
 Number of Tags > 50 in Size
Length of Tag key is <= 63
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-83,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare
Number of Tags > 50 in Size
Length of Tag key is > 63 
Length of Tag key is > 63",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-84,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare from Bursting to Provisioned Throughput Mode:
1 >= Throughput <= 1024 MiB/s
",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-85,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare from Bursting to Provisioned Throughput Mode:
Throughput < 1 MiB/s
",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-86,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare from Bursting to Provisioned Throughput Mode:
Throughput > 1024 MiB/s",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-87,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare from Provisioned to Throughput Throughput Mode
",FileShare Updation - [Valid Scenerio],TC-MuliCloud-FS-88,"SODA Multi-Cloud Docker Containers Up & Running
",,
"Update Max I/O FileShare from Provisioned to Bursting Throughput Mode with some Throughput Value
",FileShare Updation - [InValid Scenerio],TC-MuliCloud-FS-89,"SODA Multi-Cloud Docker Containers Up & Running
",,
List FileShares,FileShare Listing - [Valid Scenerio],TC-MuliCloud-FS-90,"SODA Multi-Cloud Docker Containers Up & Running
",,
Get FileShare for a valid FileShareId,FileShare GET - [Valid Scenerio],TC-MuliCloud-FS-91,"SODA Multi-Cloud Docker Containers Up & Running
",,
Get FileShare for a InValid FileShareId,FileShare GET - [InValid Scenerio],TC-MuliCloud-FS-92,"SODA Multi-Cloud Docker Containers Up & Running
",,
Delete FileShare for a valid FileShareId,FileShare Deletion - [Valid Scenerio],TC-MuliCloud-FS-93,"SODA Multi-Cloud Docker Containers Up & Running
",,
Delete FileShare for a Invalid FileShareId,FileShare Deletion - [InValid Scenerio],TC-MuliCloud-FS-94,"SODA Multi-Cloud Docker Containers Up & Running
",,
